tim_1;tim_2;kondisi_team1_player1;kondisi_team1_player2;kondisi_team2_player1;kondisi_team2_player2;score
Arya/David;Dennis/Eka;Sakit;Sehat;Cedera;Pemulihan;'2-0
Arya/Eka;Dennis/Angga;Sehat;Sakit;Pemulihan;Sakit;'2-0
Wawo/Wirawan;Arya/David;Sehat;Sakit;Sakit;Pemulihan;'1-2
Eka/Wirawan;David/Arya;Sehat;Cedera;Sehat;Pemulihan;'2-0
Dennis/David;Arya/Wirawan;Pemulihan;Pemulihan;Cedera;Cedera;'1-2
Eka/Moel;Angga/Wawo;Pemulihan;Pemulihan;Cedera;Sehat;'0-2
Arya/David;Wawo/Moel;Sakit;Pemulihan;Cedera;Pemulihan;'2-0
Wawo/Moel;Angga/Arya;Cedera;Sehat;Sehat;Cedera;'1-2
Moel/Angga;Dennis/Eka;Sehat;Pemulihan;Sehat;Sehat;'2-0
Wirawan/Eka;David/Dennis;Sakit;Pemulihan;Pemulihan;Cedera;'2-0
Arya/Wawo;Wirawan/David;Sehat;Sehat;Sehat;Cedera;'1-2
Moel/Wawo;Eka/Angga;Sakit;Cedera;Pemulihan;Pemulihan;'2-0
Wawo/Arya;Moel/David;Sehat;Cedera;Sehat;Pemulihan;'2-0
Wirawan/Angga;Dennis/Moel;Sakit;Cedera;Pemulihan;Sakit;'0-2
Moel/Angga;David/Arya;Sakit;Cedera;Sehat;Sehat;'2-1
Arya/Moel;Wirawan/David;Sakit;Sakit;Sakit;Sehat;'2-0
Angga/Wirawan;David/Dennis;Cedera;Sakit;Sakit;Cedera;'0-2
Eka/Angga;Dennis/Wawo;;Pemulihan;Sehat;Cedera;'2-1
Angga/Wirawan;Dennis/David;Sakit;Sakit;Cedera;Sehat;'2-0
Wawo/Moel;;Pemulihan;Sehat;Sakit;Cedera;'0-2
Angga/Wawo;Arya/Dennis;Pemulihan;Cedera;Cedera;Sehat;'0-2
David/Moel;Eka/Wawo;Cedera;Pemulihan;Cedera;Sehat;'2-1
Arya/Dennis;Angga/Moel;Sakit;Pemulihan;Cedera;Sakit;'2-1
Moel/Arya;Eka/David;Cedera;Pemulihan;Sakit;Sakit;'2-1
Angga/David;Arya/Moel;Cedera;Sakit;Sehat;Sehat;'1-2
Angga/David;Wawo/Moel;Cedera;Cedera;Cedera;Sakit;'1-2
Moel/Wirawan;Eka/Arya;Sakit;Sakit;Sakit;Pemulihan;'2-0
David/Moel;Dennis/Angga;Pemulihan;Cedera;Pemulihan;Pemulihan;'2-1
Arya/Moel;Wirawan/Eka;Sehat;Sakit;Sehat;Sakit;'0-2
Dennis/Arya;Angga/Wawo;Pemulihan;Pemulihan;Pemulihan;Sakit;'2-1
Moel/Angga;Dennis/David;Cedera;Sehat;Pemulihan;Sakit;'2-1
Moel/Wawo;Eka/Arya;Sakit;Pemulihan;Pemulihan;Sakit;'2-0
Wawo/Angga;Arya/David;Sehat;Sakit;Sehat;Sehat;'2-1
David/Wirawan;Arya/Moel;Sehat;Sakit;Cedera;Cedera;'2-0
Wawo/David;Arya/Dennis;Pemulihan;Cedera;Sakit;Sakit;'0-2
Arya/Wawo;David/Wirawan;Pemulihan;Pemulihan;Sehat;Sakit;'0-2
Arya/Angga;Wawo/Moel;Cedera;Cedera;Sakit;Sakit;'2-1
Dennis/Moel;Angga/David;Pemulihan;Cedera;Cedera;Sakit;'2-0
Angga/David;Wawo/Dennis;Cedera;Sakit;Sehat;Cedera;'2-0
Dennis/Moel;Angga/Arya;Pemulihan;Cedera;Pemulihan;Sehat;'2-0
Wirawan/Dennis;Angga/Moel;Sehat;Sakit;Sehat;Sakit;'2-1
Wawo/Dennis;Eka/Angga;Sakit;Cedera;Pemulihan;Cedera;'0-2
Angga/Eka;Wirawan/Dennis;Cedera;Cedera;Sakit;Pemulihan;'2-1
Angga/Wirawan;Arya/David;Pemulihan;Pemulihan;Sakit;Sehat;'2-0
Wirawan/Dennis;David/Arya;Cedera;Sehat;Cedera;Pemulihan;'1-2
Dennis/David;Eka/Moel;Cedera;Sakit;Pemulihan;Cedera;'1-2
Dennis/Wirawan;Moel/Angga;Pemulihan;Sehat;Cedera;Sakit;'2-1
Dennis/Arya;Wawo/Moel;Sehat;Cedera;Sehat;Sehat;'1-2
Dennis/David;Wawo/Angga;Sehat;Sakit;Sehat;Sakit;'0-2
Dennis/Eka;Wirawan/David;Sakit;Sakit;Sakit;Sehat;'2-1
Moel/David;Wirawan/Angga;Sakit;Cedera;Pemulihan;Sehat;'1-2
Eka/Dennis;David/Wirawan;Sakit;Cedera;Pemulihan;Sakit;'2-0
;Dennis/Arya;Sehat;Sehat;Cedera;Sakit;'2-0
David/Dennis;Arya/Moel;Sakit;Sakit;Cedera;Pemulihan;'0-2
Angga/Eka;Wawo/Wirawan;Sehat;Sehat;Cedera;Cedera;'2-0
Moel/David;Wawo/Angga;Sakit;Pemulihan;Sakit;Sakit;'2-1
Angga/Arya;David/Wawo;Cedera;Sehat;Pemulihan;Sehat;'2-1
Eka/Wirawan;Dennis/Angga;Pemulihan;Sehat;Pemulihan;Cedera;'2-1
Eka/David;Wawo/Dennis;Pemulihan;Cedera;Pemulihan;Sakit;'2-0
Arya/David;Eka/Moel;Cedera;Cedera;Sehat;Cedera;'2-0
David/Moel;Angga/Eka;Cedera;Pemulihan;Pemulihan;Pemulihan;'0-2
Wirawan/Dennis;Arya/David;Sehat;Pemulihan;Cedera;Sehat;'2-1
Wirawan/Arya;Angga/Moel;Pemulihan;Cedera;Pemulihan;Sehat;'1-2
Wirawan/David;Dennis/Wawo;Sehat;Sakit;Cedera;Cedera;'2-1
Wirawan/Arya;Eka/Moel;Cedera;Cedera;Pemulihan;Cedera;'2-0
Dennis/Arya;Moel/David;Sakit;Sehat;Pemulihan;Pemulihan;'2-0
Moel/Dennis;Angga/Eka;Sakit;Pemulihan;Sehat;Sakit;'0-2
Eka/Dennis;Angga/Arya;Cedera;Pemulihan;Sakit;Cedera;'0-2
Wawo/Arya;Moel/Angga;Sehat;Pemulihan;Sakit;Sehat;'2-1
Angga/Wawo;David/Wirawan;Sehat;Sehat;Cedera;Sakit;'2-1
David/Angga;Eka/Moel;Sehat;Cedera;Sehat;Sakit;'2-1
Dennis/Moel;Arya/Wirawan;Sakit;Sehat;Cedera;Pemulihan;'2-1
Arya/Eka;Moel/Wawo;Cedera;Cedera;Sakit;Cedera;'2-0
Wirawan/Moel;Eka/Wawo;Sakit;Sakit;Cedera;Sakit;'0-2
Arya/Angga;Wawo/Dennis;Sakit;Cedera;Pemulihan;Cedera;'1-2
Wawo/Moel;Wirawan/Dennis;Sakit;Cedera;Cedera;Sakit;'1-2
Dennis/Arya;Moel/David;Cedera;Pemulihan;Cedera;Pemulihan;'2-1
Wawo/Angga;Arya/David;Cedera;Sehat;Sakit;Cedera;'2-1
Dennis/Wirawan;Arya/Moel;Cedera;Cedera;Pemulihan;Cedera;'2-0
Wawo/Eka;Angga/David;Sehat;Pemulihan;Sehat;Pemulihan;'1-2
Wawo/Moel;Eka/Angga;Sehat;Pemulihan;Sakit;Cedera;'2-0
Moel/Wirawan;Eka/Arya;Pemulihan;Cedera;Cedera;Cedera;'0-2
Dennis/David;Angga/Wirawan;Sakit;Cedera;Sehat;Pemulihan;'1-2
Arya/Dennis;Angga/Moel;Sakit;Sakit;Cedera;Cedera;'0-2
Moel/Wawo;Wirawan/Arya;Cedera;Pemulihan;Sakit;Pemulihan;'0-2
Eka/Moel;Wirawan/Angga;Sakit;Sehat;Cedera;Sakit;'0-2
Moel/David;Eka/Dennis;Sakit;Pemulihan;Cedera;Pemulihan;'1-2
Eka/Moel;Angga/David;Pemulihan;Cedera;Sehat;Cedera;'2-1
Moel/David;Wawo/Wirawan;Pemulihan;Pemulihan;Sehat;Sakit;'2-1
Arya/Wirawan;Angga/Moel;Sehat;Sakit;Sehat;Sehat;'2-0
David/Wirawan;Angga/Dennis;Sehat;Sakit;Cedera;Sehat;'0-2
Wawo/Arya;Moel/Angga;Cedera;Sehat;Pemulihan;Pemulihan;'0-2
Eka/Arya;Wawo/Dennis;Pemulihan;Sehat;Sehat;Sehat;'2-1
Dennis/Moel;Wirawan/David;Sakit;Sakit;Cedera;Pemulihan;'2-0
Moel/Eka;Arya/Wawo;Pemulihan;Sakit;Sehat;Cedera;'0-2
Angga/David;Eka/Dennis;Cedera;Sehat;Pemulihan;Sakit;'1-2
Moel/Dennis;David/Angga;Sakit;Sehat;Sakit;Pemulihan;'1-2
Moel/David;Wawo/Dennis;Pemulihan;Sehat;Pemulihan;Pemulihan;'1-2
Wawo/Wirawan;Arya/Angga;Cedera;Sehat;Sehat;Sakit;'1-2
Arya/Dennis;Angga/Moel;Cedera;Sehat;Pemulihan;Sakit;'2-0
Wawo/Eka;Dennis/Wirawan;Sehat;Pemulihan;Pemulihan;Cedera;'1-2
Wirawan/Wawo;Arya/Moel;Cedera;Sakit;Sakit;Sehat;'2-1
David/Moel;Wirawan/Eka;Sehat;Sehat;Cedera;Cedera;'2-1
Arya/Dennis;Eka/Angga;Pemulihan;Sakit;Sakit;Sakit;'0-2
Arya/Angga;Dennis/Moel;Sakit;Cedera;Sehat;Pemulihan;'2-0
Wawo/Angga;Dennis/Wirawan;Pemulihan;Cedera;Pemulihan;Sakit;'0-2
Moel/David;Wirawan/Arya;Sakit;Cedera;Sehat;Cedera;'0-2
Moel/David;Angga/Wirawan;Sehat;Sakit;Sehat;Sakit;'1-2
David/Dennis;Eka/Arya;Sehat;Cedera;Sakit;Sakit;'0-2
Dennis/Angga;Wawo/Moel;Pemulihan;Pemulihan;Sakit;Sehat;'2-0
Eka/Wirawan;Dennis/Arya;Cedera;Cedera;Sakit;Sehat;'2-1
Dennis/Moel;Angga/David;Pemulihan;Sehat;Sakit;Cedera;'2-1
Eka/Wawo;Dennis/Moel;Cedera;Pemulihan;Sakit;Pemulihan;'2-0
Arya/Dennis;Wawo/Moel;Pemulihan;Sakit;Cedera;Sehat;'0-2
David/Dennis;Wirawan/Arya;Cedera;Cedera;Sehat;Sakit;'0-2
David/Moel;Wawo/Angga;Cedera;Pemulihan;Pemulihan;Pemulihan;'2-1
Dennis/Angga;Eka/Wirawan;Sehat;Sehat;Cedera;Pemulihan;'1-2
Wawo/Dennis;David/Moel;Cedera;Pemulihan;Pemulihan;Sehat;'1-2
Moel/Wirawan;Wawo/Dennis;Pemulihan;Sakit;Sehat;Sehat;'2-1
David/Wirawan;Moel/Wawo;Sakit;Cedera;Sehat;Cedera;'1-2
David/Wirawan;Arya/Angga;Pemulihan;Cedera;Cedera;Sehat;'0-2
Wirawan/Dennis;Angga/Arya;Sakit;Sehat;Pemulihan;Cedera;'0-2
Eka/Moel;Wirawan/David;Pemulihan;Pemulihan;Cedera;Sakit;'1-2
Arya/Dennis;David/Angga;Sakit;Sakit;Sakit;Sakit;'2-0
Moel/Dennis;Wawo/Eka;Cedera;Pemulihan;Cedera;Cedera;'0-2
David/Dennis;Moel/Angga;Sehat;Sakit;Pemulihan;Cedera;'2-0
Wawo/Dennis;Angga/Wirawan;Cedera;Pemulihan;Cedera;Cedera;'2-0
Eka/Wawo;Moel/Wirawan;Pemulihan;Cedera;Pemulihan;Cedera;'2-1
Moel/Arya;Angga/Wawo;Cedera;Sehat;Cedera;Sakit;'1-2
Moel/Angga;David/Arya;Pemulihan;Sakit;Sakit;Cedera;'2-0
David/Dennis;Moel/Angga;Sehat;Sehat;Pemulihan;Pemulihan;'0-2
Eka/Angga;Moel/Wawo;Sakit;Pemulihan;Pemulihan;Sakit;'1-2
Moel/David;Angga/Dennis;Pemulihan;Pemulihan;Sehat;Sehat;'1-2
David/Dennis;Eka/Wirawan;Sakit;Pemulihan;Sakit;Sehat;'1-2
Wirawan/Wawo;Arya/Moel;Cedera;Sakit;Pemulihan;Sakit;'2-0
Angga/Dennis;Moel/David;Sehat;Pemulihan;Sehat;Pemulihan;'0-2
Eka/Wirawan;Moel/David;Pemulihan;Sehat;Cedera;Sakit;'1-2
Wirawan/Arya;Wawo/Moel;Sakit;Sakit;Sehat;Sakit;'2-0
Arya/Wawo;Eka/Wirawan;Pemulihan;Sakit;Pemulihan;Sehat;'2-0
Dennis/David;Eka/Wawo;Sehat;Pemulihan;Sakit;Cedera;'2-1
Angga/Wirawan;Wawo/Eka;;Pemulihan;Sehat;Cedera;'0-2
Wirawan/Dennis;Eka/Arya;Sakit;Pemulihan;Sehat;Pemulihan;'2-1
Arya/Eka;Moel/David;Cedera;Sehat;Sehat;Pemulihan;'1-2
Wirawan/Eka;Wawo/Arya;Cedera;Sakit;Pemulihan;Cedera;'2-0
Eka/Moel;David/Wawo;Pemulihan;Sehat;Sehat;Pemulihan;'1-2
Eka/Wirawan;Arya/Wawo;Pemulihan;Pemulihan;Pemulihan;Cedera;'2-0
Angga/Wirawan;Arya/Eka;Sakit;Sakit;Sakit;Pemulihan;'1-2
David/Dennis;Wirawan/Arya;Cedera;Sehat;Pemulihan;Cedera;'2-1
David/Angga;Moel/Eka;Sehat;Sakit;Cedera;Sakit;'2-0
Wawo/Eka;Arya/Moel;Sehat;Sakit;Sehat;Pemulihan;'1-2
Arya/Wirawan;Angga/Moel;Cedera;Sakit;Sehat;Sehat;'1-2
Angga/Arya;Moel/Wawo;Sehat;Sehat;Pemulihan;Cedera;'2-0
Moel/Arya;Eka/Wirawan;Pemulihan;Sakit;Pemulihan;Cedera;'2-1
Wirawan/Eka;Moel/Arya;Sakit;Sakit;Cedera;Cedera;'1-2
Dennis/Wawo;Moel/Arya;Sehat;Sehat;Pemulihan;Pemulihan;'2-1
Wirawan/Dennis;Angga/Wawo;Sehat;Pemulihan;Sehat;Pemulihan;'0-2
Moel/Angga;David/Dennis;Sehat;Pemulihan;Cedera;Pemulihan;'2-1
Wawo/Dennis;Wirawan/Eka;Sakit;;Pemulihan;Sakit;'2-0
Wawo/Arya;Wirawan/David;Cedera;Sakit;Pemulihan;Sakit;'2-0
Wawo/Wirawan;Eka/Moel;Sakit;Sehat;Pemulihan;Pemulihan;'2-1
Moel/Eka;Arya/Angga;Sehat;Sakit;Sakit;Pemulihan;'2-1
Eka/Wawo;David/Dennis;Cedera;Pemulihan;Cedera;Pemulihan;'1-2
Dennis/David;Eka/Arya;Cedera;Sakit;Cedera;Cedera;
Arya/Wawo;Angga/Moel;Pemulihan;Cedera;Sakit;Sakit;'0-2
Eka/Arya;Wirawan/David;Sehat;Pemulihan;Sehat;Sakit;'2-1
Arya/Moel;Eka/David;Cedera;Cedera;Sakit;Sehat;'0-2
Wirawan/Angga;Moel/Eka;Pemulihan;Cedera;Sehat;Sehat;'2-0
Angga/David;Eka/Dennis;Sakit;Sakit;Pemulihan;Sehat;'2-0
Eka/Moel;Arya/Dennis;Cedera;Sehat;Sehat;Sehat;'2-0
Dennis/Moel;Angga/David;Cedera;Pemulihan;Sakit;Sakit;'2-0
Eka/Wawo;Wirawan/Dennis;Sehat;Pemulihan;Sakit;Sakit;'0-2
Moel/David;Wirawan/Arya;Sakit;Cedera;Cedera;Sehat;'0-2
Dennis/Wawo;Eka/Arya;Cedera;Sakit;Sehat;Pemulihan;'2-1
Wawo/David;Eka/Dennis;Pemulihan;Pemulihan;Cedera;Sehat;'2-1
Wawo/Dennis;Eka/Wirawan;Sehat;Pemulihan;Sehat;Sakit;'2-0
Wawo/David;Dennis/Angga;Cedera;Sehat;Sehat;Pemulihan;'1-2
Eka/Wirawan;Moel/Angga;Sakit;Pemulihan;Pemulihan;Cedera;'0-2
David/Angga;Moel/Wirawan;Sakit;Cedera;Sakit;Sakit;'2-1
Angga/David;Moel/Eka;Pemulihan;Pemulihan;Sehat;Sehat;'0-2
Dennis/Wawo;Eka/Angga;Sehat;Sehat;Sakit;Sehat;'1-2
Arya/Wirawan;Dennis/Eka;Pemulihan;Sehat;Pemulihan;Sakit;'2-0
Moel/Wawo;Eka/David;Pemulihan;Cedera;Cedera;Pemulihan;'0-2
Wirawan/Angga;Dennis/David;Sehat;Cedera;Sehat;Cedera;'2-1
Wawo/Wirawan;Moel/Arya;Sakit;Sehat;Cedera;Sehat;'2-1
Angga/Moel;David/Wirawan;Sakit;Sakit;Pemulihan;Sakit;'2-1
Eka/Wirawan;Moel/Dennis;Pemulihan;Sakit;Pemulihan;Sakit;'0-2
Wawo/Wirawan;David/Arya;Sakit;Pemulihan;Sakit;Pemulihan;'2-1
David/Angga;Arya/Wawo;Cedera;Cedera;Sakit;Sehat;'2-1
Eka/Wawo;Arya/Dennis;Pemulihan;Cedera;Sehat;Sehat;'1-2
Eka/Angga;Moel/David;Cedera;Sakit;Sakit;Sakit;'2-0
Eka/Wirawan;Arya/Moel;Sakit;Sehat;Sehat;Pemulihan;'2-0
Angga/Moel;Eka/Wawo;Sakit;Pemulihan;Pemulihan;Cedera;'2-0
Wawo/David;Dennis/Moel;Sehat;Sehat;Sehat;Sakit;'2-0
Wawo/David;Wirawan/Dennis;Sehat;Sakit;Pemulihan;Sakit;'2-1
David/Eka;Dennis/Angga;Cedera;Pemulihan;Pemulihan;Cedera;'2-0
Wirawan/Wawo;David/Arya;Sehat;Sehat;Sakit;Sakit;'2-1
Arya/Wirawan;Angga/Eka;Cedera;Cedera;Pemulihan;Sakit;'1-2
Moel/Dennis;Wirawan/Arya;Cedera;Pemulihan;Sehat;Sehat;'2-0
Angga/Arya;Eka/Moel;Pemulihan;Sehat;Sakit;Sehat;'0-2
David/Moel;Angga/Wirawan;Cedera;Cedera;Cedera;Sehat;'2-1
Angga/Wirawan;Dennis/Wawo;Sakit;Sehat;Sehat;Cedera;'0-2
Dennis/Moel;Eka/Angga;Pemulihan;Sehat;Sehat;Pemulihan;'0-2
Eka/Wawo;Wirawan/Arya;Pemulihan;Sehat;Sehat;Sakit;'1-2
Wirawan/David;Dennis/Wawo;Pemulihan;Pemulihan;Cedera;Sakit;'2-1
Angga/Wirawan;David/Eka;Cedera;Sakit;Sehat;Cedera;'2-1
Moel/Dennis;Angga/Arya;Sehat;Sehat;Sakit;Cedera;'1-2
Moel/Eka;Wawo/Arya;Cedera;Pemulihan;Cedera;Cedera;'2-0
Dennis/Moel;Eka/David;Sakit;Sehat;Sehat;Sehat;'2-1
Wirawan/Moel;Wawo/Angga;Pemulihan;Pemulihan;Sakit;Cedera;'2-0
David/Moel;Angga/Arya;Sehat;Sakit;Cedera;Sakit;'0-2
David/Arya;Wirawan/Wawo;Cedera;Sehat;Cedera;Cedera;'2-0
Dennis/David;Wawo/Moel;Sakit;Sehat;Cedera;Sakit;'2-0
Moel/Eka;Arya/Angga;Sehat;Cedera;Cedera;Sakit;'1-2
David/Wirawan;Moel/Eka;Sehat;Cedera;Pemulihan;Cedera;'1-2
Wirawan/Angga;Eka/Dennis;Sakit;Pemulihan;Pemulihan;Sehat;'0-2
Wawo/David;Arya/Angga;Sakit;Pemulihan;Cedera;Cedera;'0-2
Dennis/Arya;Angga/David;Cedera;Sakit;Sakit;Cedera;'2-1
Eka/Wirawan;Arya/David;Sakit;Sehat;Cedera;Sehat;'2-1
Wirawan/Angga;David/Eka;Cedera;Cedera;Sehat;Sehat;'2-1
Dennis/Angga;Eka/Moel;Sehat;Sehat;Pemulihan;Cedera;'2-0
David/Wirawan;Arya/Wawo;Pemulihan;Cedera;Sakit;Sehat;'2-0
Dennis/Moel;Wirawan/Angga;Sehat;Sakit;Sakit;Pemulihan;'0-2
Wirawan/Moel;David/Angga;Pemulihan;Cedera;Cedera;Sakit;'2-1
Arya/Wirawan;Moel/Dennis;Sehat;Sehat;Pemulihan;Sehat;'2-0
Arya/Moel;David/Angga;Pemulihan;Sehat;Pemulihan;Pemulihan;'2-1
Wawo/Wirawan;Dennis/Arya;Cedera;Sehat;Sehat;Sakit;'2-1
Dennis/Eka;Wawo/Wirawan;Cedera;Sehat;Sehat;Pemulihan;'2-0
Arya/Wawo;Dennis/David;Sehat;Sakit;Sehat;Pemulihan;'2-1
Wirawan/Eka;Dennis/Moel;Cedera;Sakit;Cedera;Sehat;'2-0
Moel/Wawo;Arya/Eka;Pemulihan;Sakit;Sakit;Sehat;'2-0
Dennis/David;Moel/Arya;Pemulihan;Sehat;Sakit;Pemulihan;'2-0
Wirawan/Dennis;Moel/Angga;Sehat;Pemulihan;Sakit;Sakit;'2-0
Moel/Dennis;Arya/Angga;Pemulihan;Pemulihan;Sehat;Cedera;'0-2
Wirawan/Dennis;Wawo/Moel;Pemulihan;Pemulihan;Cedera;Sakit;'0-2
Arya/David;Wawo/Wirawan;Sehat;Pemulihan;Sehat;Sehat;'2-1
David/Eka;Dennis/Wawo;Sakit;Cedera;Pemulihan;Cedera;'2-1
David/Dennis;Wirawan/Angga;Sakit;Pemulihan;Pemulihan;Pemulihan;'0-2
Wawo/Moel;Wirawan/David;Cedera;Cedera;Sehat;Cedera;'0-2
Wirawan/Moel;Eka/Wawo;Sakit;Sakit;Pemulihan;Sakit;'0-2
Wawo/David;Eka/Arya;Pemulihan;Cedera;Sehat;Cedera;'1-2
Dennis/Wirawan;Angga/David;Pemulihan;Sehat;Sakit;Sakit;'2-1
Moel/Angga;Wirawan/Eka;Pemulihan;Cedera;Cedera;Sehat;'2-0
Arya/Wirawan;David/Wawo;Cedera;Pemulihan;Sakit;Sakit;'2-0
David/Moel;Arya/Wirawan;Sehat;Sakit;Pemulihan;Pemulihan;'1-2
Wirawan/David;Wawo/Dennis;Pemulihan;Sakit;Cedera;Sakit;'0-2
Arya/Angga;Eka/Wirawan;Sakit;Pemulihan;Pemulihan;Sehat;'2-1
Arya/Wirawan;Moel/Wawo;Sehat;Sakit;Pemulihan;Sehat;'2-1
Angga/Moel;Eka/David;Sakit;Sakit;Sehat;Cedera;'2-1
Wirawan/Wawo;Arya/Eka;Pemulihan;Sakit;Cedera;Sehat;'2-1
Wirawan/Moel;Angga/Dennis;Sakit;Sakit;Sehat;Cedera;'2-0
Dennis/David;Arya/Eka;Pemulihan;Cedera;Pemulihan;Sakit;'2-1
Eka/Arya;David/Dennis;Sakit;Sehat;Sakit;Pemulihan;'2-1
Dennis/Angga;Wirawan/David;Sakit;Pemulihan;Cedera;Cedera;'2-0
Angga/Moel;Wirawan/David;Sehat;Cedera;Cedera;Pemulihan;'2-0
Dennis/Arya;Moel/Wirawan;Sakit;Sakit;Sakit;Pemulihan;'2-1
Arya/Angga;David/Wirawan;Cedera;Sakit;Sehat;Sehat;'2-0
Eka/Moel;Angga/Dennis;Pemulihan;Cedera;Sehat;Cedera;'0-2
Angga/Wirawan;David/Moel;Cedera;Cedera;Sehat;Cedera;'2-1
Angga/Arya;Eka/Wirawan;Pemulihan;Pemulihan;Pemulihan;Sakit;'2-1
Wawo/Moel;David/Arya;Sakit;Pemulihan;Sakit;Sehat;'2-1
Moel/Angga;Wirawan/David;Sehat;Cedera;Sakit;Sehat;'2-1
Wirawan/Moel;Eka/Wawo;Sakit;Cedera;Sakit;Sakit;'1-2
Wawo/Dennis;Arya/Wirawan;Sakit;Sakit;Cedera;Pemulihan;'0-2
Angga/Wirawan;Dennis/Wawo;Sakit;Pemulihan;Cedera;Sehat;'0-2
Wirawan/Arya;Eka/Moel;Pemulihan;Cedera;Sakit;Sehat;'2-0
Wirawan/Moel;Arya/David;Cedera;Pemulihan;Sehat;Sakit;'0-2
Wawo/Dennis;David/Wirawan;Pemulihan;Pemulihan;Pemulihan;Sehat;'2-0
Wirawan/Angga;Wawo/Arya;Pemulihan;Cedera;Sehat;Pemulihan;'2-1
Wawo/Moel;Dennis/Eka;Pemulihan;Cedera;Pemulihan;Sehat;'2-1
Angga/Wirawan;Arya/Eka;Pemulihan;Pemulihan;Cedera;Cedera;'2-0
Arya/Eka;Angga/David;Sakit;Cedera;Sehat;Sakit;'2-0
Angga/Moel;Dennis/Arya;Sehat;Cedera;Sakit;Sakit;'2-0
Dennis/Wirawan;David/Wawo;Sehat;Sakit;Sehat;Pemulihan;'2-1
Dennis/Moel;Wirawan/David;Sehat;Sehat;Sehat;Pemulihan;'1-2
Angga/Eka;Moel/Wawo;Sehat;Sehat;Sakit;Sehat;'2-0
Angga/Wawo;Arya/Eka;Sehat;Cedera;Sehat;Cedera;'0-2
Eka/Wawo;Arya/Angga;Pemulihan;Sehat;Pemulihan;Cedera;'2-0
Arya/David;Angga/Dennis;Pemulihan;Sakit;Sakit;Cedera;'2-0
Wawo/Wirawan;Dennis/David;Pemulihan;Cedera;Sakit;Sakit;'2-1
Eka/Wawo;Arya/Wirawan;Cedera;Pemulihan;Sakit;Pemulihan;'2-0
Moel/Eka;Wirawan/David;Sakit;Sakit;Sakit;Sehat;'2-1
Arya/Moel;Wawo/Eka;Cedera;Sehat;Pemulihan;Cedera;'0-2
Wawo/Dennis;Eka/Moel;Pemulihan;Pemulihan;Cedera;Pemulihan;'0-2
David/Arya;Moel/Wirawan;Cedera;Pemulihan;Pemulihan;Cedera;'2-0
Dennis/Moel;Wawo/David;Sakit;Cedera;Sehat;Pemulihan;'2-1
Eka/Angga;Wawo/Moel;Sakit;Sakit;Pemulihan;Cedera;'2-1
Dennis/Eka;Angga/Moel;Cedera;Pemulihan;Pemulihan;Cedera;'1-2
Wirawan/Dennis;Arya/Moel;Cedera;Sehat;Cedera;Sakit;'2-1
Wirawan/Dennis;Eka/Wawo;Sakit;Sehat;Pemulihan;Pemulihan;'1-2
Eka/Wawo;Moel/Wirawan;Sakit;Cedera;Sakit;Sakit;'2-1
Angga/Dennis;Wawo/Wirawan;Pemulihan;Pemulihan;Pemulihan;Sehat;'1-2
Dennis/Wirawan;Moel/Arya;Sakit;Sakit;Sehat;Sakit;'2-1
Dennis/Eka;David/Wirawan;Sakit;Cedera;Sakit;Sehat;'0-2
Dennis/David;Moel/Eka;Pemulihan;Sehat;Cedera;Sakit;'0-2
Eka/Wirawan;Moel/Angga;Cedera;Sakit;Cedera;Pemulihan;'0-2
Wirawan/Moel;David/Eka;Cedera;Sehat;Cedera;Pemulihan;'2-1
Angga/Arya;Eka/Moel;Cedera;Sehat;Cedera;Cedera;'0-2
David/Angga;Eka/Dennis;Cedera;Sehat;Cedera;Cedera;'2-0
Angga/Dennis;David/Moel;Cedera;Sakit;Pemulihan;Sakit;'1-2
Arya/Dennis;Angga/Wirawan;Sehat;Pemulihan;Cedera;Sehat;'2-1
Wawo/Dennis;Eka/David;Sakit;Cedera;Pemulihan;Cedera;'1-2
Eka/Wawo;Dennis/David;Sehat;Cedera;Sakit;Cedera;'2-0
Angga/Arya;Wawo/Moel;Sakit;Cedera;Pemulihan;Pemulihan;'0-2
Angga/Dennis;Eka/Arya;Cedera;Cedera;Cedera;Sakit;'2-0
Dennis/Wawo;Eka/Arya;Sehat;Cedera;Cedera;Sehat;'0-2
Moel/Arya;Wirawan/Eka;Sehat;Sakit;Pemulihan;Sehat;'0-2
Dennis/Wirawan;Arya/Angga;Sakit;Cedera;Cedera;Sakit;'2-1
Wirawan/Moel;Wawo/David;Sehat;Sehat;Sakit;Sehat;'1-2
David/Dennis;Arya/Wawo;Pemulihan;Cedera;Sehat;Sehat;'2-0
Wirawan/Angga;Moel/Arya;Cedera;Cedera;Cedera;Sakit;'2-1
Dennis/Angga;Wirawan/Wawo;Pemulihan;Sakit;Sehat;Pemulihan;'1-2
David/Wawo;Arya/Moel;Sakit;Pemulihan;Sehat;Pemulihan;'2-1
Dennis/Moel;Angga/Eka;Pemulihan;Cedera;Sehat;Pemulihan;'1-2
Angga/Dennis;Wawo/David;Pemulihan;Sakit;Sehat;Sakit;'2-0
Wirawan/Wawo;Angga/Arya;Sakit;Cedera;Sakit;Pemulihan;'2-0
Moel/Wirawan;Wawo/Dennis;Pemulihan;Cedera;Sakit;Pemulihan;'1-2
Moel/Dennis;Arya/Wirawan;Cedera;Pemulihan;Sehat;Cedera;'0-2
